username,tweetcreatedts,text
kompascom,2023-01-26 08:21:10+00:00,Asosiasi Geuchik Aceh Utara menilai idealnya masa jabatan kepala desa yaitu enam tahun untuk tiga periode. https://t.co/clJL2ngehx
basoamir,2023-01-26 08:06:50+00:00,"Siapa yang bergerilya untuk meloloskan perpanjangan masa jabatan kepala desa menjadi 9 tahun? 
https://t.co/5sh3A1CMOA"
anda0016,2023-01-26 07:52:25+00:00,"Masa jabatan kepala desa diperpanjang jadi 9 tahun? Bagaimana pandangan Islam? Serba serbi MMC.
#Islamkaffah 
https://t.co/HAWEQVCGJ0"
RikaYulianda4,2023-01-26 07:51:04+00:00,"Perpanjangan masa jabatan kepala desa perpanjangan tangan oligarki? Indikasi korupsi makin besar. Serba serbi MMC.
#Islamkaffah 
https://t.co/tOAJpzKsZW"
kang_zoeh,2023-01-26 07:38:20+00:00,"Periodisasi masa jabatan kepala desa
https://t.co/43u6HkYJpY"
ismiindra,2023-01-26 07:33:40+00:00,@edudukun @Puthutea Kepala desa skrg masa jabatan ny 6 tahun
bbyEmily01,2023-01-26 07:22:30+00:00,Presiden @jokowi menyebut perpanjangan masa jabatan tersebut merupakan aspirasi para kepala desa. Ia pun mempersilakan para kepala desa untuk menyampaikan aspirasi tersebut kepada DPR. https://t.co/ZSW7dXlZvU
bbyEmily01,2023-01-26 07:17:47+00:00,Presiden @jokowi menegaskan bahwa Undang-Undang Nomor 6 Tahun 2014 tentang Desa telah mengatur masa jabatan kepala desa selama 6 tahun dan selama tiga periode. https://t.co/FNFPfV9nDD
pikiran_rakyat,2023-01-26 07:12:36+00:00,"Usulan Masa Jabatan Kades jadi 9 Tahun, Pakar Sebut Rawan Korupsi: Pakar menyebut usulan masa jabatan kepala desa (kades) yang diperpanjang menjadi 9 tahun menjadi rawan dengan tindak korupsi. https://t.co/80TOxHmcum"
aji_lembu,2023-01-26 07:10:52+00:00,"Kami menolak usulan kemendes PDTT atas usulan perpanjangan masa jabatan kepala desa 
Itu hanya bermanfaat bagi kepala desa tp bencana bagi masyarakat 😖"
e100ss,2023-01-26 07:07:16+00:00,"Fahri Hamzah: Kepala Desa Jangan Tergoda Iming-iming Parpol soal Perpanjangan Masa Jabatan 9 Tahun
https://t.co/wpO6nnfoH6"
beny_dasc,2023-01-26 06:47:28+00:00,Tolak Masa Jabatan Kepala Desa 9 Tahun! UU Desa Untuk Kemajuan dan Kesejahteraan Masyarakat Desa - Tandatangani Petisi! https://t.co/PuB8MJ2cSv lewat @ChangeOrg_ID
IrwanMustafa18,2023-01-26 06:45:38+00:00,"@OposisiCerdas Jika disetujui perpanjangan masa jabatan kades, berarti bisa juga perpanjangan masa jabatan Kepala Pemerintahan nasional. Krn kades itu Kepala pemerintahan tingkat desa. Hehehe... cikal bakal utk jadi 3 periode..."
NewsJerami,2023-01-26 06:43:19+00:00,"Apdesi menyebut politikus PKB, sekaligus Mendes PDTT, selaku pihak yang mengompori kepala desa untuk menuntut perpanjangan masa jabatan.

https://t.co/EW4rvBZjZv"
Ry_Odji,2023-01-26 06:40:14+00:00,"Ttd gaes..!!

Tolak Masa Jabatan Kepala Desa 9 Tahun! UU Desa Untuk Kemajuan dan Kesejahteraan Masyarakat Desa - Tandatangani Petisi! https://t.co/BLZsqwPLjf lewat @ChangeOrg_ID"
GarethBJ4w4,2023-01-26 06:39:25+00:00,kepala desa dengan kondisi mabuk foto bersama.. luar biasa.. udah gitu minta perpanjangan masa jabatan. mas @budimandjatmiko ini gimana mas? pak @kemendagri @Kemendagri_RI @rbkunwas
BosawerAris,2023-01-26 06:32:13+00:00,"Revisi Undang-Undang Nomor 6 Tahun 2014 Tentang Desa
Masa Jabatan Kepala Desa Dari 6 Tahun Tiga Periode = 18 Tahun  Menjadi 9 Tahun Dua Periode = 18 Tahun https://t.co/Dr03b3kz7j"
BosawerAris,2023-01-26 06:32:12+00:00,"Revisi Undang-Undang Nomor 6 Tahun 2014 Tentang Desa
Masa Jabatan Kepala Desa Dari 6 Tahun Tiga Periode = 18 Tahun  Menjadi 9 Tahun Dua Periode = 18 Tahun https://t.co/sq0asDt0Z6"
BosawerAris,2023-01-26 06:32:12+00:00,"Revisi Undang-Undang Nomor 6 Tahun 2014 Tentang Desa
Masa Jabatan Kepala Desa Dari 6 Tahun Tiga Periode = 18 Tahun  Menjadi 9 Tahun Dua Periode = 18 Tahun https://t.co/xw2GeRFW1W"
NirwanZulkifli,2023-01-26 06:30:47+00:00,"Mendes PDTT Abdul Halim Iskandar menyayangkan adanya pihak yang menggulirkan wacana masa jabatan kepala desa (kades) total selama 27 tahun.
@halimiskandarnu https://t.co/TPUtnrZW6I"
indo_mostviral,2023-01-26 06:17:18+00:00,"Demo DPR RI Untuk Perpanjangan Masa Jabatan, Segini Besaran Gaji Jabatan Kepala Desa https://t.co/uyN8VHccPQ"
suhairi4hmad,2023-01-26 05:59:29+00:00,"Banyak kepala desa nirkompeten dan jadi lintah bertahun-tahun. Gak ada kontrol sama sekali dan karena itu, mereka seperti gak punya dosa minta perpanjangan masa jabatan."
TarmoYasin,2023-01-26 05:54:43+00:00,@henrysubiakto Kepala desa yg minta perpanjangan masa jabatan dari 6 ke 9 thn. Sy yakin tidak akan membuat desanya sejahtera.. Makin korup malah iya prof..
poskotanetwork,2023-01-26 05:48:46+00:00,"Sampah berserakan pasca aksi demo lanjutan Kepala Desa seluruh Indonesia yang menuntut masa jabatan di perpanjang di depan kawasan DPR RI, Jl. Gatot Subroto, Jakarta, Rabu, (25/1/2023).

Gimana menurut kamu? apa sudah pantas menuntut masa jabatan jika kelakuannya begini? https://t.co/GcqBwglzSo"
dodisanjaya,2023-01-26 05:33:58+00:00,Tolak Masa Jabatan Kepala Desa 9 Tahun! UU Desa Untuk Kemajuan dan Kesejahteraan Masyarakat Desa - Tandatangani Petisi! https://t.co/H9pYQhPPgP via @ChangeOrg_ID
syarifniskala,2023-01-26 05:30:58+00:00,"Saya menolak perpanjangan masa jabatan kepala desa. Raja-raja kecil itu harus dibatasi agar tidak merusak dan koruptif.
Bantu sebar dan tandatangani ini ya =&gt; https://t.co/hF3yWrMiqi"
RMOLJatim_id,2023-01-26 05:30:03+00:00,Lebih Penting Mengurangi Kemiskinan daripada Tambah Masa Jabatan Kepala Desa: Perpanjangan jabatan kepala desa yang diusulkan menjadi sembilan tahun belum tentu bisa menyelesaikan konflik pilkades yang selama ini terjadi. Apalagi jika perpanjangan masa… https://t.co/i3lpQqqIBe
beritajatimcom,2023-01-26 05:25:02+00:00,"DPRD Jember Soroti Program BPJS Ketenagakerjaan untuk RT dan RW.

Anggota Komisi A, Alfan Yusfi mengatakan, ada kebiasaan kepala desa mengganti ketua RT dan RW sebelum masa jabatan… https://t.co/f5qrsTffhh #PolitikPemerintahan #BPJSKetenagakerjaanJember via @beritajatimcom"
LilinDiHatimu,2023-01-26 05:21:19+00:00,"Perpanjangan Masa Jabatan Kepala Desa Disorot, Perpanjangan Tangan Oligarki? 
Tak ada oligarki dlm Islam kaffah. Negara mengatur dgn syariat demi maslahat. Kepentingan rakyat terpenuhi. Aturan-Nya tegak dgn kuat
Serba serbi MMC
https://t.co/HgKucYzfnD"
redgung,2023-01-26 05:20:56+00:00,"Lha kalau bupati-walikota-gubernur ikutan pd demonstrasi ke DPR menuntut perpanjangan masa jabatan gimana. 
Yg kasian kan presiden. Apa ada presiden yg mau sendirian jalan kaki teriak teriak ke DPR minta nambah masa jabatan. 
Presiden &amp; kepala desa jg dipilih oleh rakyat lho."
LilinDiHatimu,2023-01-26 05:20:33+00:00,"Perpanjangan Masa Jabatan Kepala Desa Disorot, Perpanjangan Tangan Oligarki? 
Tak ada oligarki dlm Islam kaffah. Negara mengatur dgn syariat demi maslahat
Serba serbi MMC
https://t.co/HgKucYzfnD"
LilinDiHatimu,2023-01-26 05:19:49+00:00,"Perpanjangan Masa Jabatan Kepala Desa Disorot, Perpanjangan Tangan Oligarki? 
Ologarki berkuasa di sistem kapital. Kepentingan rakyat terpinggirkan
Tak ada oligarki dlm Islam kaffah 
Serba serbi MMC
https://t.co/HgKucYzfnD"
LilinDiHatimu,2023-01-26 05:19:09+00:00,"Perpanjangan Masa Jabatan Kepala Desa Disorot, Perpanjangan Tangan Oligarki? 
Ologarki berkuasa di sistem kapital
Tak ada oligarki dlm Islam kaffah 
Serba serbi MMC
https://t.co/HgKucYzfnD"
LilinDiHatimu,2023-01-26 05:18:37+00:00,"Perpanjangan Masa Jabatan Kepala Desa Disorot, Perpanjangan Tangan Oligarki? 
Tak ada oligarki dlm Islam kaffah 
Serba serbi MMC
https://t.co/HgKucYzfnD"
LilinDiHatimu,2023-01-26 05:18:24+00:00,"Perpanjangan Masa Jabatan Kepala Desa Disorot, Perpanjangan Tangan Oligarki? 
Tak ada olugarki dlm Islam kaffah 
Serba serbi MMC
https://t.co/HgKucYzfnD"
deena_noor,2023-01-26 05:12:10+00:00,"Perpanjangan Masa Jabatan Kepala Desa Disorot, Perpanjangan Tangan Oligarki? 
Butuh Islam kaffah utk mengatur. Negara menjalankan kekuasaan utk memberi maslahat pd rakyat. Tdk ada kepentingan kapitalis atau oligarki yg menguasai
Serba serbi MMC
https://t.co/QpxORMQTrT"
deena_noor,2023-01-26 05:10:16+00:00,"Perpanjangan Masa Jabatan Kepala Desa Disorot, Perpanjangan Tangan Oligarki? 
Kapitalisme suburkan oligarki. Rakyat termarginalisasi. Negara tak berkutik
Butuh Islam kaffah
Serba serbi MMC
https://t.co/QpxORMQTrT"
deena_noor,2023-01-26 05:09:41+00:00,"Perpanjangan Masa Jabatan Kepala Desa Disorot, Perpanjangan Tangan Oligarki? 
Kapitalisme suburkan oligarki. Rakyat termarginalisasi
Butuh Islam kaffah
Serba serbi MMC
https://t.co/QpxORMQTrT"
deena_noor,2023-01-26 05:09:00+00:00,"Perpanjangan Masa Jabatan Kepala Desa Disorot, Perpanjangan Tangan Oligarki? 
Kapitalisme suburkan oligarki
Butuh Islam kaffah
Serba serbi MMC
https://t.co/QpxORMQTrT"
deena_noor,2023-01-26 05:08:24+00:00,"Perpanjangan Masa Jabatan Kepala Desa Disorot, Perpanjangan Tangan Oligarki? 
Butuh Islam kaffah
Serba serbi MMC
https://t.co/QpxORMQTrT"
NewsMotiva,2023-01-26 04:51:23+00:00,"Saya adalah salah seorang yang konsisten memperjuangkan RUU tentang Desa bersama Parade Nusantara,dengan target capaian ADD 10 % dari APBN senilai I M per Desa dan berhasil. Sementara untuk masa jabatan kepala desa sesuai harapan yang ideal yaitu 8 tahun selama 3 periode.#semoga https://t.co/EbGGi71xwY"
Eka_Bay,2023-01-26 04:45:01+00:00,"Saya tidak setuju Kepala Desa masa jabatan 9 tahun, karena Desa saya merasakan dipimpin Kepala Desa tidak cakap. 6 tahun kantor Desa mati suri! Memperpanjang masa jabatan orang2 sperti itu sangat tidak adil!"
yulisukau,2023-01-26 04:44:42+00:00,"Perpanjangan Masa Jabatan Kepala Desa Disorot, Perpanjangan Tangan Oligarki? | Serba serbi MMC

Unjuk rasa sejumlah kepala desa di depan gedung DPR RI pada 17 Januari 2023 menuai polemik. Meski mereka diterima anggota dewan dan dijanjikan 

https://t.co/8Gor7n4HBj https://t.co/PqqeUlodjq"
penabicara17,2023-01-26 04:42:22+00:00,"Terkait Masa Jabatan Kepala Desa, Presiden Jokowi: Undang-Undang Membatasi 6 Tahun https://t.co/SVq9uu0joh"
TikaPut73597024,2023-01-26 04:39:14+00:00,"Perpanjangan Masa Jabatan Kepala Desa Disorot, Perpanjangan Tangan Oligarki? | Serba serbi MMC

https://t.co/9MTu0U831x"
nusabalicom,2023-01-26 04:36:46+00:00,"Kemendagri Kaji Perpanjangan Masa Jabatan Kades https://t.co/bEUrhXWNHK Usulan perpanjangan masa jabatan Kepala Desa (Kades) terus bergulir di pusat

#berita #jakarta #nusabali"
Onl1Jb,2023-01-26 04:36:19+00:00,"Mendagri Tito Soal Perpanjangan Masa Jabatan Kepala Desa: Kalau Banyak Positifnya, Kenapa Tidak?
https://t.co/Cyp25CWz9E

Perlu Diingat Adalah, Luhut Jabat Dewan Pembina APDESI.

Mungkin Ini Salah Satu Hal Positifnya, Nyampah...!👇 https://t.co/G42iXhoJim"
Arpenda1,2023-01-26 04:32:06+00:00,"@Leonita_Lestari Kenapa ada korupsi desa,karena untuk jadi kepala desa butuh dana rata2 1milyar.kalau jumlah desa 81000 berarti ada kemungkinan dana desa 81 trilyun yang akan dikurupsi...apa relevan dgn penambahan masa jabatan"
kotaksegiempat,2023-01-26 04:28:22+00:00,"Katanya untuk pembangunan desa, yg merasakan tentunya warga desa

Tp yg demo berjilid2 minta penambahan masa jabatan kepala desa malah kades nya. 

Mestinya kan warga desa kan ya?"
auliamed,2023-01-26 04:25:46+00:00,"@democrazymedia Makin panjang JABATAN KEPALA DESA MK AKAN MAKIN BESAR RESIKO PENYELEWENGAN ANGGARAN , BYK KADES YG AKAN MASUK PENJARA KRN BAKAL SEWENANG WENANG MENJADI RAJA KECIL DI DESA NYA ,baik nya hentikan upy penambahan masa jabatan kades , cukup 6 thn."
humas_res_barru,2023-01-26 04:11:58+00:00,"Kapolres Barru AKBP Dodik Susianto, S.I.K menghadiri pelantikan kepala desa terpilih masa jabatan 2023 - 2029 bertempat di Kantor Daerah Kabupaten Barru. https://t.co/qcLjfuufXG"
Kayla010120,2023-01-26 03:58:57+00:00,"Perpanjangan Masa Jabatan Kepala Desa Disorot, Perpanjangan Tangan Oligarki?

Tuntutan penambahan masa jabatan kepala desa dari 6 tahun menjadi 9 tahun berpotensi melanggengkan oligarki. Yuk simak channel berikut ini..

https://t.co/icP2A63vkU
#IslamKaffah l Serba-serbi MMC"
Shinichi_ce,2023-01-26 03:41:27+00:00,"Tuntutan penambahan masa jabatan kepala desa dari 6 tahun menjadi 9 tahun berpotensi melanggengkan oligarki.
Simak di Serba-serbi MMC
#Islamkaffah"
lili10998849,2023-01-26 03:39:42+00:00,"Perpanjangan masa jabatan kepala desa disorot. Sebab, tuntutan penambahan masa jabatan kepala desa dari 6 tahun menjadi 9 tahun berpotensi melanggengkan oligarki. Lantas, bagaimana Islam memandang hal ini? Selengkapnya simak di video MMC! 
#Islamkaffah 
https://t.co/tTvwIqkeif"
Shinichi_ce,2023-01-26 03:38:51+00:00,"Perpanjangan Masa Jabatan Kepala Desa Disorot, Perpanjangan Tangan Oligarki? | Serba serbi MMC
#Islamkaffah"
mojokdotco,2023-01-26 03:38:40+00:00,Banyak yang nggak setuju dengan wacana perpanjangan masa jabatan Kades. Wacana itu memungkinkan Kades menjabat selama 27 tahun. Jadi penasaran deh berapa gaji kepala desa. Kok pada ngebet banget berkuasa lama. #Terbaru #Kilas https://t.co/w2jS1g1d0C
nesiatimescom,2023-01-26 03:37:53+00:00,"Para Kepala Desa Unjuk Rasa Minta Masa Jabatan Jadi 9 Tahun, Jokowi Bereaksi, Tegas &amp; Tak Main-main
 https://t.co/MhkcvRn6Oo"
YasinArafat08,2023-01-26 03:37:28+00:00,"Unjuk rasa sejumlah kades di depan gedung DPR RI menuai polemik.sebab tuntutan penambahan masa jabatan kepala desa dari 6 tahun menjadi 9 tahun berpotensi melanggengkan oligarki.bagaimana Islam memandang hal ini?simak di Serba Serbi MMC
https://t.co/TA6dwgGerI
#IslamKaffah"
paper44820474,2023-01-26 03:36:19+00:00,"Unjuk rasa sejumlah kades di depan gedung DPR RI menuai polemik, tak sedikit yang mengkritiknya. Sebab, tuntutan penambahan masa jabatan kepala desa dari 6 thn jadi 9 thn berpotensi melanggengkan oligarki.Bagaimana Islam memandang?Simak di MMC
https://t.co/XO4PgI09hu
#IslamKaffah"
MochiMawi,2023-01-26 03:35:52+00:00,"Masa jabatan kepala desa dari 6 thn menjadi 9 thn berpotensi melanggengkan oligarki. 
Serba serbi MMC
#IslamKaffah
https://t.co/5i9KkuQPdv"
DonoTownsend,2023-01-26 03:35:43+00:00,"Perpanjangan masa jabatan Kades menuai polemik. Usulan mereka diakomodir dalam revisi UU Desa. Tuntutan penambahan masa jabatan kepala desa berpotensi melanggengkan oligarki. Lantas, bagaimana Islam memandang hal ini? 

Serba-serbi MMC
https://t.co/ccBRKh88CB
#Islamkaffah"
jawapos,2023-01-26 03:34:29+00:00,Missing Link Masa Jabatan Kepala Desa https://t.co/9SDyWB3qvi
oryzasav,2023-01-26 03:33:35+00:00,"Unjuk rasa sejumlah kepala desa di depan gedung DPR RI pada 17 Januari 2023 menuai polemik. Sebab, tuntutan penambahan masa jabatan kepala desa dari 6 tahun menjadi 9 tahun berpotensi melanggengkan oligarki. Bagaimana Islam memandang ini? #Islamkaffah 
https://t.co/ODnjmBi37z"
paper44820474,2023-01-26 03:30:49+00:00,"Tuntutan penambahan masa jabatan kepala desa dari 6 tahun menjadi 9 tahun berpotensi melanggengkan oligarki. Lantas, bagaimana Islam memandang hal ini? Selengkapnya simak di channel MMC
https://t.co/XO4PgI09hu
#IslamKaffah"
netrayID,2023-01-26 03:29:02+00:00,"Aksi demo Kepala Desa se-Indonesia menuntut perpanjangan masa jabatan menjadi 9 tahun, tuai pro kontra. Sejumlah respon warganet ramai mewarnai timeline. Bagaimana respon atas tuntutan tersebut?

#masajabatan9tahun #mediamonitoring #bigdata #kades 

https://t.co/NLJV5zyJrv"
Leonita_Lestari,2023-01-26 03:28:50+00:00,"Jadi, menuduh para Kepala Desa punya motif ingin melanggengkan korupsi di balik upaya mereka menggolkan perubahan masa jabatan 2 kali 9 tahun sepertinya tidak pantas kita tuduhkan. Data TIDAK bicara seperti itu. https://t.co/Cp3ZiKrvr7"
inasfauziiah,2023-01-26 03:27:58+00:00,"Perpanjangan Masa Jabatan Kepala Desa Disorot, Perpanjangan Tangan Oligarki? Lantas, bagaimana Islam memandang hal ini? Selengkapnya simak di dalam video berikut ini! 
Kades atau oligarki
Serba-serbi MMC
#Islamkaffah
https://t.co/hpaaMuDQ0k"
iihjiji,2023-01-26 03:27:01+00:00,@OnlyFrens ini kepala desa yg mau nambah masa jabatan kemaren? hadeh hadeh
pecintabakso9,2023-01-26 03:26:44+00:00,"Unjuk rasa sejumlah kades di depan gedung DPR RI menuai polemik. Sebab, tuntutan penambahan masa jabatan kepala desa dari 6 tahun menjadi 9 tahun berpotensi melanggengkan oligarki. Lantas, bagaimana Islam memandang hal ini?

Serba-serbi MMC 
https://t.co/7pr2yrWalI
#Islamkaffah"
SatukanIndoNews,2023-01-26 03:24:53+00:00,PBNU Nilai Masa Perpanjangan Jabatan Kepala Desa Terlalu Berlebihan https://t.co/BrovD10TfG
haluanharian,2023-01-26 03:24:40+00:00,"Setelah demo meminta perpanjangan masa jabatan menjadi 9 tahun, para kepala desa mengajukan masa jabatan kembali menjadi 27 tahun. 
sampah berserakan pasca aksi demo lanjutan Kepala Desa seluruh Indonesia di depan kawasan DPR RI, Jl. Gatot Subroto, Jakarta, Rabu, 25/1/2023, 13.30 https://t.co/YZozgZYQn3"
Leonita_Lestari,2023-01-26 03:21:24+00:00,"Pada 2004, UU itu direvisi lagi. Revisi pada UU Nomor 32 tahun 2004 terkait masa jabatan Kepala Desa, diubah lagi menjadi 6 tahun dan 2 periode.

Terakhir, pada 2014, UU nomor 6 tahun 2014 bicara tentang masa jabatan Kepala Desa yg lamanya adlh 6 tahun &amp; namun dengan 3 periode."
Leonita_Lestari,2023-01-26 03:21:24+00:00,"Dan lalu, ketika UU No 5 tahun 1979 berlaku, di sana ada aturan bahwa masa jabatan Kepala Desa adalah 8 tahun dan boleh 2 periode.

UU itu kemudian direvisi menjadi UU Nomor 22 tahun 1999. Pada klausul masa jabatan Kepala Desa, UU memberi waktu 5 tahun dan tetap 2 periode. https://t.co/SXOoelsSH8"
Leonita_Lestari,2023-01-26 03:21:23+00:00,"Sebelum UU Nomor 5 tahun 1979 berlaku, masa jabatan Kepala Desa bisa dibilang tidak dibatasi. Banyak diantara mereka yang justru dapat menjabat posisi itu untuk seumur hidup."
Leonita_Lestari,2023-01-26 03:21:22+00:00,"Paling tidak, sudah ada empat UU yang bicara dan mengatur hal ini. Hingga tahun 1979 sejak negara ini merdeka, aturan tentang lama masa jabatan Kepala Desa, tidak diatur dalam aturan khusus."
Leonita_Lestari,2023-01-26 03:21:03+00:00,"Kita ribut tentang isu perubahan masa jabatan Kepala Desa.

""Gila apa, masak 3 kali 6 tahun masih kurang dan sekarang minta 9 tahun? Berkuasa kok minta 27 tahun?"" Cuit Robert melalui akun tuiternya."
korantempo,2023-01-26 03:15:58+00:00,Apa hubungan tuntutan perpanjangan masa jabatan kepala desa oleh Apdesi dan agenda Jokowi tiga periode. #KoranTempo https://t.co/h8TiMLRANO
pembelajar1453,2023-01-26 03:15:09+00:00,"Sobat, unjuk rasa sjumlah kepala desa di depan gedung DPR RI pd 17 Januari 2023 menuai polemik. Tuntutan akan pnambahan masa jabatan kepala desa dari 6th mjd 9th brpotensi mlanggengkan oligarki. Bgmn islam mmndangnya? Simak di Serba-serbi MMC
https://t.co/wEZ9lOdTv6
Islam Kaffah"
dutakebaikan11,2023-01-26 03:13:31+00:00,"Sob, Unjuk rasa sjumlah kepala desa di depan gdg DPR RI pd 17 Januari 2023 menuai polemik. Tuntutan akan pnambahan masa jabatan kepala desa dari 6th mjd 9th brpotensi melanggengkan oligarki. Bgmn islam mmndang hal ini? Simak di Serba-serbi MMC
https://t.co/Ml3PTipIQk
Islam Kaffah"
diva_acm,2023-01-26 03:13:03+00:00,Bukannya 5 tahun yah jabatan kepala desa mah ya? Kades yang waras aja udah mumet kalo ditambah jadi 9 tahun masa jabatannya. Beneran dah mumet. Da kepala desa pun kudu ganti kalo udah waktu masa jabatannya udah abis. Yang nambah 9 tahun justru patut dicurigai. Pasti ehem ehem...
purapenyukameow,2023-01-26 03:08:10+00:00,"Perpanjangan masa jabatan kepala desa disorot, perpanjangan tangan oligarki

Serba-serbi MMC
https://t.co/dEc64bL0fu
#islamkaffah"
pembelajar1453,2023-01-26 03:05:29+00:00,"Unjuk rasa sjumlah kepala desa di depan gdg DPR RI pd 17 Januari 2023 menuai polemik. Tuntutan akan pnambahan masa jabatan kepala desa dari 6th mjd 9th brpotensi melanggengkan oligarki. Bgmn islam mmndang hal ini? Simak di Serba-serbi MMC yaa
https://t.co/wEZ9lOdTv6
Islam Kaffah"
beritaKBR,2023-01-26 03:05:12+00:00,"Ketua Umum Apdesi Arifin Abdul Majid menambahkan, isu perpanjangan masa jabatan kepala desa semakin bernuansa politis usai sejumlah fraksi di DPR dan pemerintah merespons positif.

https://t.co/mfgaxpf116"
showmethewaygo,2023-01-26 03:04:35+00:00,"Unjuk rasa sjumlah kepala desa di depan gdg DPR RI pd 17 Januari 2023 mnuai polemik. Tuntutan akan pnambahan masa jabatan kepala desa dari 6th mjd 9th brpotensi melanggengkan oligarki. Bgmn islam mmndang hal ini? Simak di Serba-serbi MMC besti
https://t.co/mTfiw1Kqpe
Islam Kaffah"
geloraco,2023-01-26 03:02:23+00:00,"DPP Pandawa: Mengurangi Kemiskinan Lebih Penting daripada Tambah Masa Jabatan Kepala Desa
https://t.co/6QTvx6GgvL"
zara06870308,2023-01-26 03:00:24+00:00,"Perpanjangan Masa Jabatan Kepala Desa Disorot

Serba-serbi MMC
https://t.co/elj0ZxsUqd
#Islamkaffah"
Zah7817,2023-01-26 02:56:55+00:00,"tuntutan penambahan masa jabatan kepala desa dari 6 tahun menjadi 9 tahun berpotensi melanggengkan oligarki
Serba-serbi MMC
https://t.co/3mXX2p4J78
#Islamkaffah"
baliilucom,2023-01-26 02:56:35+00:00,"Terkait Masa Jabatan Kepala Desa, Presiden: Undang-Undang Membatasi 6 Tahun https://t.co/9GjeWEZRgE"
Wan_7295,2023-01-26 02:48:45+00:00,"Perpanjangan Masa Jabatan Kepala Desa Disorot, Perpanjangan Tangan Oligarki? | Serba serbi MMC

 penambahan masa jabatan kepala desa dari 6 tahun menjadi 9 tahun berpotensi melanggengkan oligarki. Lantas, bagaimana Islam kaffah memandang hal ini?

https://t.co/Y0UG4Mf43v"
Wac607295,2023-01-26 02:47:44+00:00,"Perpanjangan Masa Jabatan Kepala Desa Disorot, Perpanjangan Tangan Oligarki? | Serba serbi MMC

penambahan masa jabatan kepala desa dari 6 tahun menjadi 9 tahun berpotensi melanggengkan oligarki. Lantas, bagaimana Islam kaffah memandang hal ini?

https://t.co/NDIgr8VpKD"
kawan6095,2023-01-26 02:46:42+00:00,"Perpanjangan Masa Jabatan Kepala Desa Disorot, Perpanjangan Tangan Oligarki? | Serba serbi MMC

penambahan masa jabatan kepala desa dari 6 tahun menjadi 9 tahun berpotensi melanggengkan oligarki. Lantas, bagaimana Islam kaffah memandang hal ini?

https://t.co/GKz30cigND"
dutakebaikan11,2023-01-26 02:36:29+00:00,"Unjuk rasa sjumlah kepala desa di depan gedung DPR RI pd 17 Januari 2023 menuai polemik. Tuntutan akan pnambahan masa jabatan kepala desa dari 6th mjd 9th brpotensi melanggengkan oligarki. Bgmn pndangan islam, simak dlm Serba-serbi MMC 
https://t.co/Ml3PTipIQk
Islam Kaffah"
pembelajar1453,2023-01-26 02:35:09+00:00,"Unjuk rasa sjumlah kepala desa di depan gedung DPR RI pd 17 Januari 2023 menuai polemik. Tuntutan akan pnambahan masa jabatan kepala desa dari 6th mjd 9th brpotensi melanggengkan oligarki. Bgmn islam mmndang hal ini? Simak di Serba-serbi MMC 
https://t.co/wEZ9lOdTv6
Islam Kaffah"
jagowings,2023-01-26 02:34:21+00:00,"@PolJokesID Itu botol shoju goyang goyang pak dan sempoyongan berdirinya, keren bgt emang  kepala desa diindonesia...ayo kasih mereka masa jabatan mereka sampe 80 thn dan anggaran yg ditambah  terus. Indonesia pasti maju"
MimiNizam15,2023-01-26 02:30:22+00:00,"Perpanjangan Masa Jabatan Kepala Desa Disorot, Perpanjangan Tangan Oligarki? | Serba serbi MMC

Unjuk rasa sejumlah kepala desa di depan gedung DPR RI pada 17 Januari 2023 menuai polemik. Meski mereka diterima anggota dewan dan dijanjikan tuntutannya akan diakomodir dalam re https://t.co/KkabNaIKqM"
jeha_lucu,2023-01-26 02:27:06+00:00,"Perpanjangan Masa Jabatan Kepala Desa Disorot, Perpanjangan Tangan Oligarki? | Serba serbi MMC

 Sebab, tuntutan penambahan masa jabatan kepala desa dari 6 tahun menjadi 9 tahun berpotensi melanggengkan oligarki. bagaimana Islam memandang  ini? Simak :
https://t.co/4G7ebTLoUr https://t.co/SGeVSwxZcm"
asoka3zero,2023-01-26 02:21:01+00:00,"Perpanjangan Masa Jabatan Kepala Desa Disorot, Perpanjangan Tangan Oligarki? | Serba serbi MMC
Tuntutan penambahan masa jabatan kades dari 6 tahun menjadi 9 tahun berpotensi melanggengkan oligarki. Lantas, bgmn pandangan islam kaffah? simak videonya

https://t.co/yAeuwFbhMW https://t.co/lkZpzi8bDg"
Ama_xxii,2023-01-26 02:18:40+00:00,"@detikcom @Fahrihamzah emang politikus ulung....paham betul memanfaatkan momentum.
masa jabatan dan kesejahteraan kepala desa adlh isu potensial utk meraih simpati calon pemilih di 2024 bagi partai Gelora yg notabene partai pendatang baru."
djailaniirfqn,2023-01-26 02:18:39+00:00,"Perpanjangan masa jabatan kepala desa disorot, perpanjangan tangan oligarki?"
RMOLJatim_id,2023-01-26 02:12:33+00:00,"Permintaan Kades Soal Perpanjangan Masa Jabatan, Wapres: Mau Disamakan dengan Presiden Atau Bagaimana?: Wakil Presiden Maruf Amin angkat bicara terkait dengan aksi unjuk rasa kepala desa yang meminta masa jabatannya diperpanjang.

baca selengkapnya di… https://t.co/0grHe8ZSjZ"
