username,tweetcreatedts,text
kompasiana,2023-02-18 06:08:05+00:00,Kontroversi Masa Jabatan Kepala Desa https://t.co/8zAdWsQBWi
jawapos,2023-02-17 16:51:52+00:00,Ratusan Kepala Desa Minta Masa Jabatan 9 Tahun ke DPD PDIP Jatim https://t.co/ykdMYKim9t
superradioid,2023-02-17 15:02:17+00:00,"SR, Surabaya - Ketua Badan Anggaran (Banggar) DPR RI Said Abdullah menegaskan, revisi UU Nomor 6 Tahun 2014 tentang Desa terkait wacana perpanjangan masa jabatan kepala desa dari enam tahun menjadi sembilan tahun dalam satu periode akan masuk Prolegnas

https://t.co/L1VFA6FLd6"
0x6ab0nku,2023-02-17 14:29:02+00:00,"Baru kemarin ribut soal perpanjangan masa jabatan Kepala Desa menjadi 10 tahun. Sekarang Kepala Desa minta anggaran Dana Desa naik 5% - 10% perkiraan 10 M. Yang 1 milyar banyak Korupsi nya apalagi yg 10 M ...ck ck ck ck
Banyak kali orang pengen korupsi
@TsamaraDKI https://t.co/Mzj8RPRy0X"
bagiartaketut,2023-02-17 14:24:05+00:00,"Kurang 12 cm...
Tapi yg lebih urgent dikurangi adalah PT20% jadi 0% oleh @officialMKRI 
Perlu dikurangi/ diatur juga masa jabatan ketum partai! Juga masjab kepala desa dikurangi, bukan ditambah!"
Muhamma22139702,2023-02-17 02:27:34+00:00,"Ingat 9 tahun masa jabatan dlm 1 periode? 😂

Ramai-ramai Kepala Desa di Sulsel Kembalikan Uang Gratifikasi

https://t.co/LLCCI3AB0k"
Mahasiswa_IDN,2023-02-17 02:04:48+00:00,"Pro Kontra Usulan Masa Jabatan Kepala Desa (Kades) 9 Tahun Dikalangan Masyarakat Indonesia
#prokontra #usulan #masajabatan #KepalaDesa #Kades #9tahun #masyarakatIndonesia #MahasiswaIndonesia 

https://t.co/PbIsm46lF6"
kepanjen_kita,2023-02-15 14:13:19+00:00,"Bahas soal kepala daerah lagi
Terutama soal urgensi masa jabatan 9 tahun 3 periode

Seberapa kalian mengenal kepala desa kalian

Pertanyaan pertama :
Tau NAMA KEPALA DESA mu nggak?"
Official_IPRC,2023-02-15 07:56:47+00:00,Bagaimana menurutmu tuntutan dari perpanjangan masa jabatan kepala desa? :) https://t.co/BQXS2nAhfh
Mahasiswa_IDN,2023-02-15 05:33:57+00:00,"Perpanjangan Masa Jabatan Kepala Desa: Bahaya bagi Demokrasi, tetapi Disetujui oleh Pemerintah?
#masajabatan #KepalaDesa #demokrasi #pemerintah #MahasiswaIndonesia 

https://t.co/2wp2ZDOd9a"
SRampoe,2023-02-14 16:16:32+00:00,"@arwidodo Kalau begini calon Kepala Desa nya, wajarlah jika masa jabatan nya diperpanjang sampai 27 tahun.. 

Paten punya ini calon ✌"
ProaktifM,2023-02-14 15:02:07+00:00,"Cek Artikel kami dengan Judul : Penambahan Masa Jabatan Kepala Desa, Perpanjangan Tangan Oligarki? https://t.co/cgqjwt7xnk . Semoga Allah memberikan keberkahan untuk kita semua. https://t.co/HeDlvIXjZ0"
antikorupsi,2023-02-14 14:56:14+00:00,"Korupsi dana desa konsisten menempati urutan pertama selama 6 tahun terakhir. Melihat hal itu, desa butuh perbaikan dalam hal tata kelola, bukan malah perpanjangan masa jabatan kepala desa yang berpotensi memunculkan banyak mudarat.

https://t.co/Y6OkgszEAP https://t.co/g8tV7FoKgT"
malut_kumham,2023-02-14 08:37:23+00:00,"Kepala Desa hadir dalam setiap permasalahan hukum dan sebagai wadah pertimbangan untuk tambahan masa jabatan menjadi 9 tahun.

Kanwil Kemenkumham Malut 
Kakanwil Kemenkumham Malut M Adnan"
sthefanieau_,2023-02-14 06:40:43+00:00,"Dalam pertemuan itu, Budiman dan Jokowi membahas perpanjangan masa jabatan kepala desa dari enam tahun menjadi sembilan tahun. 
#PrabowoPeduli #IkutPakde Prabowo Subianto"
The_Discomafia,2023-02-14 04:56:20+00:00,"@gusbaster87 ti-ati Bang Hotman, ntar ucapannya  diperkarakan sama Asosiasi Kepala Lapas Seluruh Negeri Konoha 

(yang mana golongan ini masih sohib sama Asosiasi Kepala Desa Konoha kemarin yg minta extend perpanjangan masa jabatan)"
knmaneges,2023-02-13 17:34:51+00:00,"Kepala Desa Demo Tuntut Tambahan Masa Jabatan ? Ini Buka Politik Dinasti
👇
https://t.co/Zhl76Hq1rw

#Demo
#Kepaladesa
#Masajabatan
#Politik

#KNmaneges
#KnmComunity
#SaudaraJiwa
#PemersatuBangsa
#NkriHargaMati https://t.co/7wI1N4SWsE"
totoksuyoto1,2023-02-13 14:51:41+00:00,Masuk akal sebab saat RUU Desa disyahkan menjadi  UU Desa  Fraksi PKB termasuk yang setuju dengan syarat masa jabatan Kepala Desa 8 tahun 2 periode meskipun tidak terpenuhi.Bahkan hinga sekarang tetap getol memperjuangkan aspirasi Kepala Desa se Indonesia soal Legislatif review.
LapasPasir,2023-02-13 11:04:44+00:00,"KELUARGA BESAR LAPAS KELAS IIB PASIR PENGARAIAN 

MENGUCAPKAN

SELAMAT ATAS PELANTIKAN DAN PENGAMBILAN SUMPAH JABATAN

KEPALA DESA
MASA BAKTI 2023-2029
KABUPATEN ROKAN HULU

SENIN, 13 FEBRUARI 2023 https://t.co/RoME6eskED"
niryoyo,2023-02-13 10:07:05+00:00,@budimandjatmiko Hal seperti ini seharusnya mudah sekali diselesaikan. Salah satunya dengan memperpanjang masa jabatan kepala desa.
MusafirSafir17,2023-02-13 08:50:40+00:00,"54 Kepala Desa Habis Masa Jabatan, Bupati Gowa Tunjuk Camat dan Sekcam Jadi PLT https://t.co/EF7XwvyW99"
cakbulla,2023-02-13 08:35:22+00:00,@kumparan Kalau perlu revisi UU DESA terkait pasal masa jabatan Kepala Desa menjadi 5 tahun dan bisa menjabat hanya 2 periode secara berturut atau tidak berturut turut.
kumparan,2023-02-13 08:26:04+00:00,Tidak ada urgensi untuk mengubah Undang-Undang terkait masa jabatan kepala desa menjadi sembilan tahun. #userstory https://t.co/CJm9g0Fabe
ResRohul,2023-02-13 07:16:36+00:00,Kepala Kepolisian Resor Rokan Hulu Beserta Staf dan Jajaran Mengucapkan Selamat Atas Pelantikan dan Pengambilan Sumpah Jabatan Kepala Desa Masa Bakti 2023-2029 di Kabupaten Rokan Hulu https://t.co/e8otHdNiiT
PolsekKuntoDs,2023-02-13 06:41:44+00:00,"Kepala Kepolisian Resor Rokan Hulu
Beserta Staf dan Jajaran
Mengucapkan

""Selamat Atas Pelantikan dan Pengambilan Sumpah Jabatan Kepala Desa Masa Jabatan 2023-2029 di Kab. Rokan Hulu""

@Polripresisi
@temanpolisi
@Sahabatpolisi_ https://t.co/Lo0nvA8Q5L"
DuniaFana251071,2023-02-13 05:44:21+00:00,"@rahung Yg penting perpanjangan masa jabatan kepala desa di disetujui..
Sambil teriak tegakkan demokrasi..."
DuniaFana251071,2023-02-13 05:43:22+00:00,"Bud..
Perpanjangan kepala desa sudah..
Perpanjangan masa jabatan presiden Bud?
Kalo masalah pakaian cadar hakul yakin kamu gak tahu..
Biar diurus yg tahu saja..."
kompasiana,2023-02-13 01:56:09+00:00,Kontroversi Demo Masa Jabatan Kepala Desa: Antara Perlindungan Demokrasi dan Stabilitas Kepemimpinan Desa https://t.co/Rjru8YXcGx
JanuarRamdani10,2023-02-12 15:47:15+00:00,"@budimandjatmiko @jokowi Dari sekian banyak nya gagasan bang budiman,Untuk kali ini saya kurang setuju dengan perpanjangan masa jabatan kepala desa, 6 th rasanya udah sangat cukup , biarkan muncul generasi baru di desa, yang punya ide ide besar untuk kemajuan desa dimna ia tinggal."
rushal1818,2023-02-12 07:53:23+00:00,"https://t.co/1Z3DhAwLHe

#LIVE Virtual Talk Show :
DUA SISI KEBIJAKAN MASA JABATAN KEPALA DESA 9 TAHUN.
Minggu, 12 Februari 2023 Pkl 20.00 WIB bersama Keynote Speaker Staf Khusus Menteri Desa Ahmad Iman Sukri dimoderatori oleh Tenaga Ahli Kemendes Ahmad Yani Budi Santoso. https://t.co/K43T5GjMRb"
Jokowi__Info,2023-02-12 07:23:03+00:00,Perpanjangan masa jabatan kepala desa wajar dan sah sah saja dilakukan https://t.co/2rEfoXth45
Kanzia_92,2023-02-12 06:47:18+00:00,@lorie_salvaniya Masa jabatan Kepala Desa sebelumnya 6 tahun menjadi 9 tahun merupakan hal wajar https://t.co/dbinc9BMTe
